Age,Income,CreditScore,Education,EmploymentType,MaritalStatus,Default
33.0,82333.0,710.0,0.0,1.0,1.0,1
66.0,79150.0,598.0,2.0,0.0,0.0,0
45.0,84619.0,346.0,1.0,2.0,2.0,0
43.0,146530.0,569.0,1.0,2.0,2.0,0
65.0,32199.0,840.0,1.0,1.0,1.0,0
56.0,113515.0,343.0,3.0,1.0,0.0,0
52.0,125069.0,573.0,3.0,3.0,2.0,0
42.0,131911.0,690.0,2.0,2.0,2.0,0
42.0,113466.0,839.0,0.0,3.0,2.0,0
68.0,83904.0,305.0,3.0,2.0,2.0,1
24.0,89436.0,335.0,0.0,1.0,0.0,0
18.0,144551.0,505.0,1.0,3.0,2.0,0
43.0,44054.0,738.0,1.0,0.0,1.0,0
43.0,19922.0,736.0,2.0,0.0,2.0,1
23.0,128538.0,553.0,2.0,0.0,1.0,0
43.0,56212.0,362.0,1.0,1.0,0.0,0
64.0,109974.0,711.0,3.0,1.0,1.0,0
23.0,95282.0,811.0,2.0,1.0,1.0,0
43.0,85920.0,437.0,0.0,0.0,1.0,0
43.0,45887.0,643.0,2.0,1.0,1.0,1
67.0,138647.0,595.0,3.0,3.0,1.0,0
30.0,31544.0,381.0,1.0,1.0,1.0,0
30.0,74466.0,463.0,0.0,2.0,2.0,0
44.0,80715.0,408.0,1.0,1.0,2.0,0
64.0,33516.0,615.0,3.0,1.0,0.0,0
22.0,121931.0,509.0,0.0,0.0,1.0,0
49.0,138251.0,522.0,0.0,2.0,0.0,0
43.0,105329.0,391.0,1.0,0.0,0.0,0
38.0,90153.0,791.0,0.0,0.0,2.0,1
27.0,79612.0,714.0,2.0,1.0,0.0,0
60.0,127195.0,396.0,1.0,2.0,2.0,0
68.0,106034.0,578.0,1.0,1.0,1.0,0
30.0,32270.0,363.0,1.0,2.0,2.0,0
46.0,33373.0,346.0,2.0,1.0,1.0,0
31.0,40728.0,832.0,3.0,3.0,1.0,0
61.0,71309.0,739.0,1.0,3.0,2.0,0
43.0,73246.0,700.0,3.0,1.0,0.0,0
59.0,84414.0,561.0,2.0,0.0,1.0,0
31.0,109730.0,631.0,2.0,2.0,1.0,0
44.0,122853.0,589.0,2.0,2.0,2.0,0
43.0,107896.0,612.0,0.0,2.0,1.0,0
20.0,19476.0,406.0,3.0,2.0,1.0,1
37.0,128962.0,685.0,1.0,2.0,1.0,0
43.0,116446.0,720.0,1.0,1.0,2.0,0
61.0,82333.0,770.0,1.0,3.0,2.0,0
51.0,46374.0,709.0,0.0,3.0,1.0,0
28.0,69937.0,583.0,2.0,1.0,1.0,0
51.0,82333.0,417.0,3.0,1.0,1.0,0
61.0,77268.0,589.0,0.0,1.0,2.0,0
40.0,139927.0,349.0,1.0,3.0,2.0,0
66.0,21410.0,590.0,3.0,0.0,0.0,0
35.0,111291.0,811.0,3.0,1.0,1.0,0
63.0,101070.0,653.0,1.0,0.0,0.0,0
33.0,82333.0,642.0,1.0,2.0,0.0,0
23.0,76019.0,608.0,3.0,1.0,1.0,0
67.0,114490.0,749.0,1.0,1.0,2.0,0
37.0,66530.0,343.0,3.0,1.0,1.0,0
27.0,75204.0,488.0,3.0,3.0,0.0,0
43.0,147079.0,598.0,2.0,3.0,1.0,0
56.0,108771.0,755.0,0.0,1.0,1.0,0
27.0,116663.0,573.0,0.0,2.0,1.0,0
63.0,46677.0,820.0,3.0,1.0,1.0,0
19.0,113081.0,452.0,1.0,0.0,2.0,0
22.0,39571.0,440.0,2.0,2.0,0.0,0
62.0,47516.0,753.0,2.0,0.0,2.0,0
48.0,76529.0,652.0,0.0,2.0,2.0,0
34.0,82333.0,561.0,3.0,1.0,0.0,0
25.0,62707.0,653.0,1.0,1.0,1.0,0
20.0,29408.0,715.0,1.0,2.0,0.0,1
67.0,19803.0,842.0,0.0,0.0,2.0,0
54.0,145566.0,539.0,1.0,0.0,1.0,0
40.0,122959.0,782.0,0.0,3.0,0.0,0
28.0,111508.0,404.0,2.0,0.0,0.0,0
29.0,48525.0,573.0,0.0,2.0,0.0,0
25.0,144847.0,519.0,3.0,0.0,1.0,0
66.0,29550.0,449.0,3.0,3.0,1.0,0
40.0,104106.0,662.0,1.0,1.0,2.0,0
43.0,99259.0,395.0,2.0,1.0,2.0,0
59.0,148857.0,537.0,3.0,2.0,1.0,0
23.0,32570.0,554.0,3.0,2.0,1.0,0
65.0,82333.0,820.0,2.0,2.0,2.0,1
62.0,49102.0,582.0,0.0,2.0,2.0,0
43.0,149874.0,422.0,0.0,3.0,0.0,1
51.0,85200.0,461.0,0.0,0.0,0.0,0
62.0,122796.0,679.0,0.0,1.0,0.0,0
53.0,61321.0,637.0,1.0,1.0,0.0,0
59.0,110867.0,507.0,0.0,3.0,0.0,1
33.0,82333.0,625.0,1.0,1.0,2.0,0
33.0,46734.0,840.0,0.0,3.0,1.0,0
50.0,53753.0,613.0,0.0,0.0,2.0,0
52.0,114342.0,754.0,3.0,3.0,2.0,0
43.0,40081.0,839.0,1.0,0.0,0.0,0
23.0,79276.0,494.0,1.0,1.0,1.0,0
29.0,124284.0,772.0,3.0,2.0,2.0,0
21.0,126343.0,573.0,2.0,1.0,1.0,1
57.0,63623.0,837.0,1.0,3.0,0.0,0
28.0,38391.0,483.0,0.0,1.0,2.0,0
20.0,59673.0,814.0,3.0,3.0,2.0,0
63.0,117898.0,301.0,0.0,0.0,1.0,0
52.0,71580.0,735.0,2.0,0.0,0.0,0
50.0,54926.0,768.0,2.0,1.0,1.0,0
40.0,29316.0,509.0,0.0,3.0,2.0,0
47.0,149925.0,573.0,0.0,2.0,1.0,0
33.0,88054.0,659.0,2.0,1.0,0.0,1
23.0,125495.0,591.0,0.0,1.0,2.0,0
46.0,15464.0,751.0,1.0,0.0,1.0,1
43.0,51217.0,601.0,3.0,0.0,2.0,0
61.0,107648.0,713.0,2.0,3.0,0.0,0
18.0,24345.0,608.0,2.0,2.0,2.0,0
56.0,25327.0,512.0,2.0,2.0,2.0,0
39.0,60283.0,816.0,2.0,1.0,0.0,0
65.0,77565.0,617.0,1.0,2.0,0.0,0
38.0,81050.0,778.0,2.0,0.0,1.0,0
25.0,82041.0,744.0,2.0,0.0,2.0,0
64.0,82333.0,736.0,3.0,1.0,1.0,0
22.0,65568.0,573.0,1.0,3.0,1.0,0
53.0,102092.0,511.0,2.0,2.0,0.0,0
53.0,25998.0,441.0,2.0,0.0,2.0,0
44.0,64001.0,305.0,2.0,0.0,1.0,0
44.0,30890.0,739.0,3.0,1.0,2.0,0
43.0,130710.0,480.0,1.0,1.0,1.0,0
43.0,131678.0,726.0,2.0,2.0,0.0,0
62.0,129704.0,387.0,1.0,1.0,2.0,0
33.0,42292.0,811.0,0.0,0.0,0.0,0
23.0,142226.0,667.0,0.0,2.0,0.0,0
45.0,18213.0,690.0,1.0,0.0,1.0,0
28.0,80091.0,372.0,2.0,1.0,0.0,1
57.0,96552.0,370.0,3.0,2.0,2.0,0
59.0,67917.0,387.0,0.0,3.0,2.0,0
43.0,65531.0,573.0,3.0,3.0,0.0,0
29.0,62814.0,352.0,3.0,1.0,2.0,1
49.0,110566.0,636.0,2.0,0.0,2.0,0
32.0,64967.0,470.0,2.0,3.0,1.0,0
45.0,82089.0,573.0,0.0,2.0,1.0,1
27.0,133585.0,457.0,1.0,3.0,2.0,0
43.0,111371.0,627.0,2.0,3.0,0.0,0
69.0,45467.0,658.0,1.0,1.0,1.0,0
62.0,148320.0,573.0,1.0,3.0,2.0,0
19.0,132185.0,679.0,3.0,2.0,1.0,0
43.0,86913.0,747.0,3.0,0.0,0.0,0
62.0,82333.0,701.0,2.0,0.0,2.0,0
47.0,103173.0,490.0,2.0,0.0,0.0,0
43.0,45560.0,445.0,3.0,1.0,2.0,0
51.0,84679.0,733.0,0.0,3.0,1.0,0
45.0,92741.0,366.0,1.0,3.0,0.0,1
62.0,82333.0,573.0,0.0,1.0,2.0,0
43.0,55306.0,579.0,3.0,3.0,0.0,0
21.0,39656.0,405.0,1.0,2.0,1.0,0
32.0,80378.0,573.0,0.0,0.0,1.0,1
31.0,98507.0,359.0,0.0,1.0,0.0,0
46.0,80110.0,833.0,1.0,0.0,2.0,0
24.0,51050.0,720.0,3.0,3.0,1.0,1
41.0,107885.0,472.0,0.0,3.0,2.0,0
57.0,75173.0,650.0,1.0,0.0,1.0,0
20.0,97100.0,546.0,1.0,0.0,2.0,0
38.0,105657.0,792.0,0.0,0.0,1.0,0
44.0,134752.0,452.0,2.0,0.0,2.0,0
43.0,130889.0,642.0,1.0,2.0,2.0,1
38.0,82333.0,814.0,0.0,1.0,0.0,1
44.0,101986.0,403.0,2.0,3.0,2.0,0
69.0,49687.0,675.0,1.0,0.0,1.0,0
22.0,49732.0,725.0,1.0,3.0,1.0,1
55.0,31445.0,770.0,1.0,1.0,0.0,1
40.0,124272.0,751.0,1.0,3.0,0.0,0
44.0,82333.0,408.0,1.0,1.0,2.0,0
54.0,126967.0,686.0,1.0,1.0,1.0,0
60.0,55253.0,418.0,3.0,3.0,1.0,1
23.0,143031.0,556.0,2.0,3.0,0.0,0
43.0,111650.0,313.0,3.0,1.0,0.0,0
24.0,78412.0,573.0,2.0,1.0,0.0,0
53.0,23908.0,309.0,0.0,1.0,1.0,0
18.0,70941.0,636.0,1.0,3.0,2.0,1
22.0,34864.0,686.0,2.0,2.0,1.0,0
42.0,41919.0,735.0,1.0,3.0,0.0,0
34.0,96123.0,539.0,3.0,2.0,0.0,0
33.0,99238.0,481.0,2.0,3.0,1.0,0
66.0,118594.0,814.0,2.0,2.0,0.0,0
37.0,55573.0,375.0,1.0,2.0,1.0,0
35.0,103490.0,353.0,1.0,1.0,1.0,0
44.0,117032.0,624.0,3.0,0.0,1.0,0
54.0,27922.0,620.0,0.0,2.0,2.0,0
30.0,53098.0,456.0,1.0,0.0,0.0,1
25.0,144530.0,677.0,3.0,0.0,0.0,0
33.0,57300.0,366.0,3.0,0.0,0.0,1
35.0,92591.0,654.0,1.0,1.0,1.0,0
60.0,93434.0,340.0,1.0,3.0,2.0,0
37.0,115201.0,532.0,2.0,2.0,1.0,0
35.0,33839.0,573.0,0.0,3.0,1.0,1
65.0,120852.0,823.0,3.0,3.0,1.0,0
56.0,32169.0,344.0,1.0,0.0,2.0,0
45.0,134807.0,801.0,3.0,0.0,0.0,0
26.0,136927.0,802.0,3.0,1.0,2.0,0
58.0,96010.0,598.0,3.0,1.0,1.0,0
41.0,74546.0,573.0,2.0,1.0,2.0,0
30.0,123088.0,487.0,1.0,0.0,2.0,0
30.0,82333.0,314.0,3.0,0.0,0.0,0
48.0,71781.0,326.0,1.0,0.0,2.0,0
64.0,82333.0,453.0,2.0,1.0,2.0,0
49.0,148802.0,390.0,2.0,1.0,1.0,0
39.0,16569.0,398.0,2.0,0.0,2.0,1
49.0,62505.0,502.0,1.0,0.0,2.0,1
38.0,117740.0,484.0,0.0,0.0,0.0,0
54.0,37775.0,361.0,3.0,0.0,1.0,0
35.0,148841.0,645.0,3.0,3.0,2.0,0
69.0,127821.0,307.0,1.0,1.0,0.0,0
43.0,95839.0,736.0,2.0,0.0,0.0,0
59.0,98495.0,573.0,0.0,2.0,1.0,0
63.0,79586.0,817.0,1.0,2.0,2.0,0
43.0,27316.0,613.0,3.0,3.0,2.0,0
43.0,53577.0,754.0,1.0,1.0,1.0,0
36.0,37948.0,648.0,3.0,3.0,2.0,0
49.0,50281.0,302.0,1.0,2.0,2.0,0
56.0,113560.0,498.0,1.0,3.0,1.0,0
61.0,82333.0,635.0,0.0,2.0,0.0,0
43.0,19732.0,812.0,1.0,1.0,0.0,0
55.0,95071.0,689.0,1.0,0.0,2.0,0
18.0,82333.0,814.0,3.0,0.0,0.0,0
53.0,38184.0,621.0,0.0,2.0,2.0,0
20.0,134514.0,590.0,0.0,1.0,0.0,0
39.0,46736.0,350.0,0.0,1.0,0.0,0
23.0,95066.0,514.0,3.0,3.0,0.0,0
40.0,82333.0,431.0,2.0,1.0,0.0,1
61.0,82333.0,530.0,2.0,0.0,1.0,0
55.0,141461.0,619.0,0.0,0.0,0.0,1
55.0,69943.0,415.0,0.0,1.0,2.0,0
55.0,132719.0,770.0,1.0,1.0,0.0,0
30.0,23155.0,664.0,1.0,3.0,1.0,0
69.0,47683.0,526.0,0.0,2.0,1.0,1
64.0,74814.0,818.0,0.0,0.0,1.0,0
66.0,89530.0,640.0,2.0,2.0,0.0,0
50.0,34449.0,355.0,1.0,2.0,2.0,0
29.0,127269.0,708.0,3.0,2.0,2.0,0
63.0,50107.0,573.0,2.0,1.0,1.0,0
30.0,22968.0,412.0,2.0,3.0,2.0,0
20.0,88089.0,496.0,1.0,1.0,0.0,0
63.0,79486.0,764.0,1.0,2.0,2.0,0
43.0,56484.0,573.0,2.0,2.0,1.0,0
43.0,136540.0,845.0,1.0,3.0,1.0,0
42.0,129703.0,849.0,1.0,3.0,2.0,0
51.0,71227.0,830.0,0.0,3.0,1.0,0
41.0,53854.0,441.0,1.0,1.0,0.0,0
27.0,84623.0,622.0,1.0,2.0,2.0,0
47.0,36272.0,312.0,3.0,0.0,1.0,0
25.0,28314.0,696.0,3.0,0.0,0.0,1
20.0,40562.0,367.0,0.0,1.0,0.0,0
36.0,39649.0,805.0,1.0,3.0,0.0,0
24.0,41943.0,711.0,3.0,3.0,1.0,0
43.0,23168.0,623.0,0.0,1.0,0.0,0
43.0,73796.0,573.0,0.0,2.0,1.0,0
53.0,48749.0,574.0,2.0,1.0,0.0,0
42.0,103744.0,755.0,2.0,1.0,2.0,0
58.0,62972.0,440.0,3.0,2.0,2.0,0
35.0,37464.0,424.0,2.0,2.0,0.0,0
53.0,104118.0,441.0,3.0,1.0,0.0,1
25.0,62198.0,682.0,1.0,0.0,1.0,1
56.0,21837.0,605.0,2.0,3.0,1.0,0
33.0,37501.0,717.0,3.0,0.0,1.0,0
59.0,28787.0,811.0,0.0,0.0,2.0,0
53.0,53991.0,567.0,0.0,3.0,2.0,0
37.0,82470.0,803.0,1.0,1.0,2.0,1
65.0,73586.0,521.0,2.0,0.0,2.0,0
47.0,59780.0,772.0,2.0,0.0,0.0,0
43.0,40115.0,339.0,2.0,2.0,0.0,0
43.0,84634.0,715.0,0.0,3.0,2.0,0
67.0,104941.0,727.0,1.0,1.0,2.0,0
49.0,37454.0,837.0,1.0,2.0,0.0,1
66.0,94838.0,324.0,1.0,3.0,2.0,0
26.0,144106.0,697.0,2.0,3.0,2.0,0
22.0,140522.0,603.0,2.0,3.0,1.0,1
47.0,119543.0,817.0,1.0,2.0,2.0,0
