Age;CreditScore;MaritalStatus;Education;Default
54;515;1;3;0
57;349;2;1;1
58;426;1;1;0
56;830;2;0;0
35;664;1;1;0
19;556;0;0;1
62;633;2;3;1
39;408;1;2;1
28;806;1;1;1
40;716;1;1;1
66;698;0;2;0
40;749;0;0;1
66;413;2;2;0
64;843;1;2;0
39;729;1;2;0
41;755;2;0;0
60;573;2;3;1
19;787;0;1;1
48;509;0;0;1
49;720;2;3;0
49;365;2;1;1
69;714;0;3;0
58;811;1;1;0
44;377;2;3;0
69;665;1;3;0
63;735;0;3;0
34;553;1;1;1
67;795;1;3;0
33;633;0;2;1
48;468;2;0;1
27;521;0;2;0
30;768;1;0;0
54;393;0;2;1
49;340;1;2;1
37;396;0;3;1
22;769;0;1;1
28;517;2;3;0
23;821;2;2;0
43;304;0;1;1
38;341;0;1;1
53;789;2;0;0
68;355;2;3;0
68;427;0;2;1
65;605;2;3;0
23;369;0;3;1
52;798;0;0;0
66;398;0;3;0
22;837;2;3;0
64;567;1;3;0
56;773;0;1;0
34;375;0;3;1
46;640;0;0;0
25;350;1;3;0
22;370;0;2;1
67;828;1;0;0
39;643;1;2;0
37;507;1;3;0
39;553;0;1;1
48;632;0;0;1
51;465;0;3;1
55;761;0;0;0
39;711;1;3;0
58;773;1;1;0
31;557;0;0;1
50;389;0;1;1
27;446;2;3;0
62;686;1;1;0
28;416;1;2;1
18;748;2;1;1
19;592;1;1;1
46;624;0;2;1
69;683;2;0;0
59;455;2;3;0
27;756;0;3;0
56;520;0;0;1
59;784;2;2;0
61;544;2;3;0
32;748;2;3;0
59;499;2;3;0
23;345;1;1;1
44;609;0;0;1
64;815;2;2;0
29;662;2;2;0
49;710;2;1;1
61;813;2;2;0
26;599;1;3;0
35;733;2;1;1
35;806;0;1;1
38;623;1;3;0
40;419;2;0;1
67;623;2;1;0
24;318;0;0;1
52;555;0;1;1
58;507;2;0;0
61;418;2;2;0
53;527;2;3;0
51;413;2;1;0
33;303;1;2;1
27;805;1;0;0
20;341;0;1;1
31;750;0;3;1
61;512;0;0;0
48;408;2;2;0
41;371;2;3;1
46;760;2;3;0
49;320;1;3;1
46;321;1;2;1
32;718;2;2;1
31;479;1;0;1
24;796;0;0;1
40;688;2;3;0
54;372;2;0;0
33;745;0;3;0
55;747;1;1;1
25;662;1;3;0
59;815;2;1;0
35;588;0;0;1
63;451;2;3;0
48;823;0;0;0
19;653;1;3;1
54;677;2;0;0
41;433;0;2;1
65;718;1;2;0
38;302;1;2;1
58;564;1;1;0
25;611;2;2;1
28;559;0;2;0
37;410;0;0;1
34;554;0;1;1
40;499;2;0;0
53;447;0;2;1
55;777;0;3;0
62;398;1;2;0
57;494;0;3;0
65;451;1;3;0
26;560;0;0;1
59;614;1;1;0
41;366;1;0;0
18;309;1;0;1
23;312;1;2;1
31;352;1;3;1
65;696;2;1;0
54;561;1;2;1
47;560;2;1;0
23;756;2;2;0
27;592;2;2;1
44;455;1;0;1
27;626;2;1;0
38;796;2;1;0
34;662;0;0;0
55;408;2;1;0
27;462;0;0;1
65;319;1;3;1
44;424;0;0;1
26;390;1;0;1
18;312;1;3;1
66;437;0;1;1
52;458;1;1;1
50;575;0;0;1
20;563;0;0;1
68;411;1;3;0
27;373;1;2;1
29;618;0;1;1
39;446;1;2;1
36;712;2;2;1
55;482;0;3;0
22;612;0;2;0
63;617;0;3;0
21;461;0;1;1
36;496;0;1;1
22;665;2;1;0
22;581;0;3;1
55;339;1;3;1
24;368;0;2;1
60;692;2;2;0
28;409;0;1;1
47;772;2;3;0
62;622;2;3;0
47;555;1;1;0
69;734;1;0;0
18;782;1;1;0
30;589;0;1;1
64;476;0;1;0
30;363;0;3;1
48;621;2;3;0
51;632;0;1;0
38;738;1;1;0
60;441;2;3;1
18;773;2;2;1
27;614;2;0;1
53;741;2;3;0
20;310;0;2;1
28;847;1;1;0
19;726;2;3;0
41;732;0;2;0
60;356;2;1;0
49;723;2;3;0
50;847;0;2;0
27;312;1;3;1
65;698;0;3;1
36;835;0;3;0
38;676;2;1;0
38;615;2;2;0
24;789;0;3;0
51;844;1;1;0
36;429;2;3;0
66;546;0;2;0
49;434;1;3;1
31;390;0;3;1
51;548;0;2;1
48;804;2;0;0
24;330;0;3;1
43;637;2;2;0
39;494;2;0;0
53;548;2;0;1
50;486;1;2;1
19;547;1;2;1
61;335;1;1;1
69;501;2;3;1
49;419;1;1;0
36;600;1;1;1
25;838;0;3;0
40;611;2;0;1
30;703;1;0;1
56;812;2;2;0
45;322;2;3;1
33;527;1;3;1
51;750;2;2;1
49;796;2;1;0
42;515;2;2;1
69;612;1;2;0
59;767;1;2;1
20;348;1;0;1
43;527;0;1;1
61;613;1;0;1
52;784;0;0;1
40;460;2;2;1
40;811;2;2;0
23;369;1;0;1
47;779;2;2;0
22;829;0;2;1
23;690;2;0;0
50;531;0;3;0
55;300;1;3;0
19;427;0;1;1
25;497;1;0;1
41;506;2;0;1
25;495;2;1;1
26;368;1;2;1
36;526;2;0;1
25;429;2;0;1
66;763;1;1;0
61;807;0;1;0
23;515;1;3;1
18;421;1;0;1
41;814;2;2;0
26;351;0;3;1
47;655;1;0;1
55;774;1;0;1
41;737;1;1;1
18;837;2;2;1
20;697;1;3;0
47;417;1;3;0
49;425;0;1;1
39;632;1;2;0
36;796;0;1;1
45;561;0;3;1
53;336;0;1;1
61;763;0;0;0
49;538;1;0;1
23;842;2;1;0
23;624;0;0;1
49;842;0;3;0
39;755;2;0;1
20;737;1;2;1
56;368;2;2;0
37;730;0;2;0
22;360;0;3;1
67;446;2;0;1
44;521;0;3;0
69;825;1;1;0
55;453;1;0;1
22;557;2;3;1
31;671;2;3;0
50;487;1;2;1
28;579;0;0;0
61;633;1;3;0
22;526;1;3;0
69;810;0;0;0
25;770;1;3;1
57;555;1;1;0
38;357;2;2;1
21;430;0;2;1
38;768;2;3;1
69;802;2;1;0
35;462;2;1;1
38;483;2;0;1
21;777;1;2;1
51;772;2;3;0
20;775;0;0;1
30;840;2;2;0
56;751;0;1;0
40;800;2;0;1
63;785;1;1;0
33;810;2;1;0
56;543;1;1;0
24;649;0;1;0
55;771;1;2;0
52;749;2;2;0
61;500;1;0;1
37;536;0;0;0
29;306;2;1;1
69;412;1;2;1
65;502;0;0;1
32;788;2;3;0
32;655;1;0;0
44;754;0;3;0
38;720;1;2;0
54;794;2;3;0
59;388;2;1;0
63;607;2;0;0
32;450;0;2;1
53;808;2;0;0
69;607;1;0;0
47;713;0;3;0
18;431;0;2;1
28;746;0;0;1
49;596;1;3;1
27;568;0;1;1
20;735;0;0;1
18;491;0;2;1
44;538;2;1;0
23;539;0;1;1
46;399;1;1;1
37;727;0;1;1
54;424;0;3;1
50;759;2;2;0
48;507;2;0;1
42;805;0;2;1
51;337;2;1;0
25;560;1;3;1
60;362;0;0;1
57;785;2;1;0
63;353;2;2;0
63;512;0;2;1
36;615;0;3;0
27;588;2;3;0
52;678;0;3;0
34;309;2;3;0
66;539;1;0;0
60;456;1;2;1
30;814;2;3;0
35;661;2;2;0
37;648;0;1;1
42;597;0;0;0
63;416;1;2;1
39;793;0;2;1
67;585;1;3;0
68;471;0;0;1
69;534;1;3;0
46;324;2;3;0
47;780;1;3;0
22;580;2;3;0
61;349;0;2;1
22;349;1;3;1
64;679;2;1;0
58;524;1;0;1
22;490;0;1;1
46;461;2;2;1
61;478;2;2;0
28;424;1;1;0
24;825;0;1;1
23;628;0;0;1
43;529;2;2;1
49;496;2;1;0
21;762;2;1;0
38;440;2;0;1
43;719;0;0;1
61;393;1;3;1
30;584;1;1;1
34;534;2;2;0
56;425;1;3;0
63;421;0;3;0
58;661;0;3;0
51;801;0;0;0
49;712;0;0;0
55;396;0;3;0
18;698;1;1;0
30;658;0;3;1
33;403;1;0;1
55;391;1;0;1
27;596;2;2;1
69;447;0;1;1
51;312;1;2;1
22;845;2;0;0
28;748;2;1;0
19;562;2;0;1
26;542;0;1;1
24;317;0;0;1
67;744;1;1;0
65;769;0;2;0
20;432;0;0;1
43;472;0;1;1
40;425;0;3;0
23;355;1;1;1
49;307;0;2;0
51;831;2;0;0
55;486;1;0;1
40;758;2;0;1
63;524;2;2;0
50;759;0;3;0
18;842;0;0;1
51;367;0;3;1
23;419;0;2;1
63;656;0;2;0
43;564;1;0;0
39;308;1;0;1
39;742;0;1;1
37;344;0;2;1
66;518;1;3;0
63;338;0;2;1
60;731;0;1;0
45;348;1;2;1
24;434;2;2;1
64;302;0;1;0
56;828;2;0;0
29;620;0;0;1
55;790;1;2;0
58;779;0;0;1
39;725;2;1;0
32;310;2;0;1
51;379;2;1;1
29;337;2;3;1
19;805;0;0;1
61;558;2;0;0
69;636;2;3;0
48;848;0;2;0
19;428;2;3;1
60;589;1;1;0
42;327;2;0;1
35;323;0;3;1
30;318;0;0;1
50;330;2;3;1
36;680;2;2;0
57;790;1;2;0
59;484;0;0;1
28;764;2;0;1
39;417;0;0;1
36;447;1;0;1
47;827;1;2;0
55;736;2;1;0
21;843;2;2;1
37;595;0;1;1
48;367;1;1;0
21;767;2;0;0
36;645;0;0;1
62;323;2;0;1
41;348;2;3;0
59;508;1;1;0
58;838;1;2;0
67;660;1;3;0
31;697;0;1;0
50;649;0;3;1
38;806;2;0;1
49;516;2;2;0
32;631;1;3;0
50;426;1;0;0
42;320;1;3;1
23;617;0;3;1
60;534;1;3;0
68;399;2;1;1
51;779;0;2;1
69;471;1;2;1
59;555;1;3;1
46;808;1;0;1
65;465;2;2;0
37;329;2;0;1
65;652;2;2;0
44;705;1;0;1
45;838;1;2;0
22;370;0;0;1
41;790;0;2;0
20;542;0;3;1
24;497;0;3;0
34;833;1;2;0
61;368;1;0;1
46;346;1;2;1
20;661;2;3;0
49;731;0;1;1
57;605;1;1;0
62;645;2;1;0
53;743;0;3;0
50;431;0;2;0
39;792;2;2;1
28;452;2;3;1
37;725;0;3;1
66;649;0;2;0
69;334;0;1;1
69;683;0;2;0
56;541;2;2;0
56;554;2;2;0
22;559;0;3;0
27;453;0;3;1
68;720;1;0;1
41;786;2;1;0
28;513;1;0;1
36;445;0;1;1
58;678;0;3;0
56;351;2;3;0
51;416;1;0;1
40;421;1;3;1
60;679;1;2;1
58;517;2;0;1
45;440;1;0;0
57;652;0;3;0
22;761;1;3;0
19;402;1;3;1
24;842;1;2;1
55;747;1;0;1
69;845;1;3;0
39;600;1;3;0
64;344;1;3;1
26;672;1;1;1
31;813;2;0;1
32;370;1;1;1
65;670;0;3;0
19;394;1;0;1
41;384;2;3;1
52;436;0;1;1
46;404;0;3;0
31;743;1;3;0
55;710;2;3;0
66;580;2;1;0
46;606;1;1;1
18;318;1;1;0
34;655;1;2;1
65;544;2;0;1
30;473;0;2;1
28;498;2;1;0
51;720;1;2;0
24;785;1;3;0
27;572;0;3;1
39;741;1;2;1
66;723;2;1;0
44;482;1;3;0
39;839;2;0;0
22;451;1;2;1
33;810;0;1;1
18;739;0;2;1
34;557;0;2;1
42;311;2;2;1
61;549;2;2;1
27;345;0;1;1
49;623;1;1;1
64;578;2;2;0
20;568;2;3;1
53;617;2;1;0
30;761;2;0;1
27;741;0;2;0
62;674;0;3;0
38;587;0;1;0
35;714;2;0;1
44;336;0;2;1
26;374;1;0;1
38;490;1;3;1
45;620;0;3;0
54;611;1;3;0
39;811;0;3;0
35;668;1;3;0
46;819;2;3;0
38;715;2;2;0
34;342;1;3;1
51;782;2;3;0
19;440;2;2;0
64;475;2;0;1
58;426;1;0;1
69;771;0;2;0
24;314;0;3;1
37;315;2;0;1
44;416;2;2;1
21;714;2;0;1
62;464;0;0;1
46;328;2;1;1
27;328;2;0;1
60;533;1;3;0
38;570;0;2;1
45;543;2;1;1
34;403;2;0;1
40;353;2;3;0
43;503;0;0;1
21;327;2;0;1
45;604;1;0;1
37;790;0;1;1
59;802;1;1;0
56;487;1;0;1
62;774;2;0;0
28;499;0;3;1
40;522;0;0;1
66;818;0;0;0
56;811;0;1;0
63;732;0;0;0
59;337;0;3;0
46;494;0;1;1
62;728;1;3;0
18;461;2;0;1
19;405;1;2;1
56;641;0;1;1
43;569;0;0;0
53;376;0;0;1
61;765;2;2;0
59;527;2;2;0
44;497;1;2;0
57;811;1;0;1
25;435;2;0;1
35;656;0;1;1
49;696;1;0;1
29;432;2;2;0
69;724;0;1;0
51;582;0;3;0
54;467;0;0;1
52;549;2;0;0
45;838;1;0;0
62;650;2;1;0
50;645;2;1;0
61;326;2;3;1
57;345;2;0;1
30;614;1;2;0
35;417;1;2;1
59;807;0;0;1
38;541;0;3;1
23;479;2;1;1
46;598;2;3;0
20;558;1;2;0
41;542;2;0;0
59;612;1;3;0
69;301;1;1;0
51;305;1;3;0
55;418;1;3;0
18;584;0;1;1
40;384;2;1;1
69;653;2;2;0
23;597;2;0;1
33;695;2;2;0
54;778;0;2;0
41;316;1;2;0
31;474;0;2;0
38;536;2;2;1
33;586;0;2;1
20;482;0;3;0
48;814;2;1;0
22;368;1;1;1
68;536;2;2;0
29;788;2;3;1
29;487;2;0;1
57;606;2;3;0
55;349;1;1;0
18;584;2;3;0
28;782;0;0;1
57;643;2;0;0
38;726;0;2;0
66;823;0;2;0
61;414;2;2;0
37;497;1;0;1
26;420;1;1;1
32;529;1;0;1
67;557;0;3;0
18;320;1;0;1
56;396;1;2;1
62;707;0;0;0
32;826;1;1;0
46;636;0;1;1
43;341;2;2;1
22;727;0;2;1
63;821;0;0;0
39;402;0;1;1
65;785;1;1;0
47;366;1;1;1
49;652;0;0;1
41;839;2;2;0
54;627;2;1;0
26;501;0;3;1
36;699;1;0;0
49;408;0;3;1
26;567;1;0;1
64;559;2;3;0
64;810;2;0;1
58;751;0;2;1
62;308;1;0;0
36;586;2;0;1
21;522;1;3;1
35;765;2;2;0
45;837;0;0;1
44;453;2;1;1
20;654;0;3;1
26;482;0;0;1
66;404;1;1;1
21;706;1;0;1
35;382;1;1;1
20;466;0;1;1
53;481;1;2;0
51;679;1;1;1
36;529;0;2;1
32;706;2;3;0
68;580;1;2;0
45;447;0;2;0
18;331;2;0;1
31;361;1;0;1
41;397;2;2;1
23;352;1;3;1
40;478;2;1;1
33;772;0;3;0
38;346;0;2;1
57;611;1;2;0
26;768;2;3;0
46;338;0;0;1
41;613;0;0;1
43;466;2;0;1
21;727;2;1;0
30;762;2;2;0
24;397;0;1;1
56;777;1;0;1
22;731;1;1;1
30;837;1;3;1
33;389;0;2;1
25;530;1;1;0
69;535;1;0;0
57;645;0;3;0
30;630;2;3;0
66;771;2;3;0
39;704;0;1;0
49;683;1;1;0
30;374;1;2;0
39;835;1;2;0
64;415;2;3;0
31;553;0;1;1
50;797;0;0;0
68;462;1;0;1
65;634;0;2;1
33;448;2;1;0
64;569;2;2;0
20;310;2;3;1
48;356;2;0;1
45;671;0;1;1
35;499;2;2;1
62;490;1;0;1
37;734;0;0;1
25;834;0;3;0
18;452;1;3;0
34;663;1;1;0
66;539;2;0;0
59;594;1;3;0
26;781;2;3;0
40;744;1;3;0
22;470;1;0;1
30;319;2;1;0
22;524;2;3;1
19;753;1;2;0
47;760;1;1;0
37;312;0;0;1
55;485;2;2;1
35;518;1;0;1
68;738;1;3;0
24;345;2;3;1
50;300;2;3;0
69;329;0;1;0
58;533;0;0;0
36;518;1;0;1
63;508;2;3;0
50;656;0;2;0
56;646;0;2;1
57;557;2;3;0
40;536;1;2;0
38;492;2;1;1
66;765;1;0;1
42;390;1;3;0
69;417;0;0;0
45;421;1;0;1
64;703;0;0;0
53;792;2;0;0
60;450;1;0;1
59;758;2;0;0
49;584;1;0;1
19;502;1;2;1
60;730;0;1;0
57;817;2;0;0
49;653;2;1;0
56;693;2;0;0
68;380;2;0;1
30;585;1;1;0
48;669;2;3;0
37;478;2;1;1
62;412;2;3;0
19;605;2;1;0
32;824;2;1;0
35;825;0;2;1
41;740;0;1;0
18;707;0;0;1
44;809;2;0;0
36;713;2;1;0
30;497;0;3;0
69;666;2;3;0
45;563;1;3;0
24;686;0;1;1
53;449;1;2;0
47;571;2;3;0
45;759;1;1;1
64;652;2;1;0
35;427;0;3;1
69;578;0;1;0
48;401;2;0;1
18;663;2;0;0
68;588;2;3;0
37;325;2;3;1
39;625;2;2;0
45;324;1;3;1
35;711;1;3;1
33;556;1;1;1
36;735;1;1;0
37;361;0;3;1
50;480;2;1;1
33;759;2;1;0
56;616;0;3;0
41;766;2;2;0
20;429;2;1;1
36;422;0;1;1
63;343;0;3;0
30;801;2;2;0
27;837;2;3;0
26;743;1;3;1
27;689;1;0;1
59;819;2;2;0
35;661;1;3;0
30;730;0;0;1
40;799;1;2;1
29;388;1;1;0
37;550;0;1;1
21;768;0;2;1
64;752;0;1;0
43;608;1;0;1
22;422;1;1;1
19;599;1;2;1
28;565;0;1;1
40;418;2;0;0
46;586;1;0;0
67;570;1;3;0
68;576;0;3;1
32;406;1;3;1
26;671;2;0;1
65;580;0;0;1
32;457;0;0;1
36;813;2;2;0
40;492;2;2;0
42;410;0;0;1
41;632;2;2;1
43;402;0;1;0
58;826;2;3;0
47;429;0;0;0
21;415;2;1;1
46;557;0;0;0
20;805;0;2;1
43;761;2;3;0
54;694;1;3;1
38;563;1;3;1
55;462;2;2;0
37;848;2;3;0
18;320;1;0;0
24;528;2;3;1
20;445;0;0;1
26;418;2;0;1
32;729;2;1;1
55;821;0;0;1
46;579;2;1;0
39;642;2;1;1
63;378;1;0;0
54;713;1;3;0
43;365;1;2;1
65;341;2;1;1
28;391;1;0;1
59;694;2;2;0
35;843;2;0;1
43;486;0;1;0
43;542;2;0;1
61;716;1;3;0
34;486;1;2;1
62;834;2;2;0
39;795;1;3;0
66;388;2;0;1
67;492;0;3;0
52;492;2;2;0
66;345;0;2;0
20;389;1;0;1
54;711;0;2;0
61;469;0;0;1
43;846;2;3;0
46;780;2;0;0
35;377;1;3;0
58;419;0;3;0
32;515;0;0;1
37;650;0;0;1
59;446;0;3;0
28;484;2;1;1
18;411;0;2;1
23;541;1;2;1
42;357;0;3;1
34;475;2;2;0
53;486;1;0;1
19;695;0;1;0
47;378;1;3;1
60;791;0;0;1
38;615;2;3;1
33;571;1;1;1
50;787;1;0;0
62;548;2;2;0
41;825;1;3;0
47;774;0;0;1
23;611;2;0;1
27;376;0;0;1
41;462;1;2;0
55;816;2;0;0
31;712;2;1;0
61;610;1;0;0
49;659;2;1;0
28;613;2;2;1
60;533;0;0;1
45;779;2;3;0
29;568;1;2;1
19;828;0;1;0
51;508;2;3;0
27;326;0;3;1
57;596;1;3;0
22;458;0;3;1
34;842;2;2;0
59;567;1;0;0
28;638;2;0;1
53;605;0;1;1
68;625;1;3;0
39;393;1;2;1
19;486;0;0;1
32;464;1;0;1
61;384;0;2;1
30;676;2;0;0
47;507;2;3;0
64;632;1;1;0
19;829;0;3;1
29;649;1;0;1
53;362;2;3;0
60;422;0;2;1
69;691;2;2;0
25;376;1;3;1
39;495;1;1;1
46;501;1;2;0
56;480;2;3;0
34;541;2;3;0
21;804;0;0;0
19;363;1;3;1
53;644;2;3;0
45;361;1;0;1
27;822;2;3;0
35;748;1;1;0
29;498;0;1;1
61;424;1;1;1
56;340;1;2;0
33;350;0;0;1
26;772;0;3;1
62;395;2;2;1
24;519;2;1;1
34;405;0;1;1
23;729;2;3;0
66;641;2;3;0
41;618;1;2;0
54;695;0;0;1
19;529;1;2;1
41;544;1;2;0
31;609;0;2;1
48;332;0;1;0
24;409;2;3;0
47;440;0;3;0
18;707;1;0;0
29;465;0;0;1
50;831;2;0;0
59;475;0;0;1
44;431;0;1;1
48;369;1;3;1
26;666;2;2;1
53;625;1;0;0
64;792;1;2;0
24;376;0;0;1
45;552;0;0;0
64;422;1;0;0
68;774;2;0;0
68;361;1;1;1
69;596;0;2;1
46;674;2;0;1
54;654;2;2;0
43;334;2;0;1
35;725;2;2;1
41;819;2;0;0
48;707;1;3;0
23;729;1;1;1
53;824;0;1;0
57;390;1;0;1
48;817;1;1;0
53;422;0;2;0
57;571;1;1;0
18;319;0;2;1
22;375;1;3;1
41;658;2;1;1
65;513;2;3;0
36;500;2;0;1
45;328;2;2;1
24;827;2;3;0
42;849;2;0;0
50;668;2;2;0
30;729;0;0;1
31;744;0;2;0
55;609;2;0;0
69;524;2;3;0
68;412;0;2;0
62;835;2;0;0
37;360;0;1;1
19;745;0;2;0
52;615;1;1;0
24;829;1;2;0
27;751;2;3;1
44;693;2;3;0
38;707;0;3;1
54;397;2;2;1
54;750;0;0;1
63;564;1;1;0
43;562;2;3;0
19;385;0;0;1
38;592;0;3;0
48;402;0;0;1
28;629;2;0;1
68;730;2;1;0
65;511;2;1;0
27;652;2;3;1
53;392;0;3;0
18;705;0;1;1
32;654;0;1;1
62;549;1;0;0
36;500;2;0;1
68;323;1;1;0
40;656;2;0;1
61;445;2;1;0
33;822;0;2;0
65;671;1;2;0
25;755;1;1;0
51;365;0;1;1
48;748;1;2;1
20;478;1;3;1
34;523;2;1;1
47;420;2;1;0
68;669;0;0;0
67;444;1;3;0
51;806;1;1;0
56;500;1;3;1
56;704;1;3;0
46;784;2;2;0
50;748;0;3;0
33;761;1;3;0
30;585;0;1;1
31;617;1;3;0
66;409;1;3;0
29;711;1;2;1
28;792;0;2;1
37;712;0;1;1
41;419;1;3;1
56;708;1;1;0
43;704;2;3;1
27;516;2;1;1
45;711;1;0;0
19;543;1;1;1
48;313;2;2;0
62;301;2;0;0
43;384;2;3;1
28;373;2;2;0
23;769;2;3;0
40;527;0;3;0
68;718;1;3;0
38;442;2;1;1
35;654;2;0;0
45;406;2;0;1
